ParishUEID,Diocese,Name,City,State,County,Address,Website,latitude,longitude,Address_Search,Avg_Attendance,Avg_Plate_Pledge,2020_Attendance,2021_Attendance,2022_Attendance,2023_Attendance,2024_Attendance,2020_Plate_Pledge,2021_Plate_Pledge,2022_Plate_Pledge,2023_Plate_Pledge,2024_Plate_Pledge
9153-1962,Central New York,Emmanuel Church,Elmira,New York,Chemung,"380 Pennsylvania Ave, Elmira, NY 14904",https://emmanuelelmira.org/,42.07993768,-76.80276965,"Emmanuel Church, 380 Pennsylvania Ave, Elmira, NY 14904",15.4,26430.2,16,13,15,17,16,"22,785","23,284","20,110","30,756","35,216"
6702-7961,Central New York,Grace Episcopal Church,Elmira,New York,Chemung,"375 W Church St, Elmira, NY 14901",https://www.graceelmira.org/,42.0879186,76.81384916,"Grace Episcopal Church, 375 W Church St, Elmira, NY 14901",21.6,66868.2,31,18,20,21,18,"60,226","65,744","77,251","60,776","70,344"
8386-5543,Central New York,St Matthew's Episcopal Church,Horseheads,New York,Chemung,"408 S Main St, Horseheads, NY 14845",https://stmatthewshorseheads.org/,42.16476185,-76.819444,"St Matthew's Episcopal Church, 408 S Main St, Horseheads, NY 14845",29.6,63038.6,35,32,29,26,26,"57,164","67,217","68,278","60,993","61,541"
5302-9955,Central New York,St Paul's Episcopal Church,Owego,New York,Tioga,"117 Main St, Owego, NY 13827",https://stpaulsowego.org/,42.1027846,-76.26476993,"St Paul's Episcopal Church, 117 Main St, Owego, NY 13827",44.4,113735.6,23,52,49,49,49,"94,181","95,183","123,188","119,628","136,498"
6270-9837,Central New York,St Paul's Episcopal Church,Endicott,New York,Broome,"200 Jefferson Ave, Endicott, NY 13760",https://stpaulsendicott.org/,42.10028566,-76.05069051,"St Pauls Episcopal Church, 200 Jefferson Ave, Endicott, NY 13760",80.8,183441.6,102,61,74,86,81,"168,296","181,517","169,764","194,183","203,448"
8292-6296,Central New York,All Saints Episcopal Church,Johnson City,New York,Broome,"475 Main St, Johnson City, NY 13790",https://www.allsaintsjcny.org/,42.11600455,-75.96610119,"All Saints Episcopal Church, 475 Main St, Johnson City, NY 13790",39.6,106091.6,60,30,34,39,35,"105,468","110,738","99,662","98,360","116,230"
9830-0338,Central New York,Trinity Memorial Church,Binghamton,New York,Broome,"44 Main St, Binghamton, NY 13905",https://www.trinitymemorial.org/,42.09952185,-75.91945496,"Trinity Memorial Church, 44 Main St, Binghamton, NY 13905",72,256856.8,92,58,67,76,67,"220,833","247,212","266,061","264,790","285,388"
4664-6832,Central New York,Christ Church Episcopal,Binghamton,New York,Broome,"10 Henry St, Binghamton, NY 13901",https://www.christchurchbinghamton.org/,42.10043859,-75.91338853,"Christ Church Episcopal, 10 Henry St, Binghamton, NY 13901",52.6,194938.2,72,43,44,55,49,"169,300","176,846","222,135","219,294","187,116"
4095-3754,Central New York,Zion Episcopal Church,Windsor,New York,Broome,"50 Chapel St, Windsor, NY 13865",http://www.zionchurchwindsor.org/,42.0760558,-75.64394292,"Zion Episcopal Church, 50 Chapel St, Windsor, NY 13865",14,20033.2,13,11,16,15,15,"17,860","20,585","19,592","21,621","20,508"
4636-3404,Central New York,St Mark's Episcopal Church,Binghamton,New York,Broome,"728 River Rd, Binghamton, NY 13901",http://www.stmarks-cb.org/,42.16711755,-75.86640323,"St Mark's Episcopal Church, 728 River Rd, Binghamton, NY 13901",59.2,112342.2,130,40,48,44,34,"164,631","136,491","111,491","88,405","60,693"
7087-8566,Central New York,St Mark's Episcopal Church,Candor,New York,Tioga,"17 Main St, Candor, NY 13743",https://www.facebook.com/stmarkscandor/,42.22641419,-76.33443891,"St Mark's Episcopal Church, 17 Main St, Candor, NY 13743",16.4,29236,21,11,15,15,20,"31,465","31,000","30,000","28,265","25,450"
4526-7002,Central New York,St John's Episcopal Church,Berkshire,New York,Tompkins,"1504 76 Rd, Berkshire, NY 13736",https://www.facebook.com/StJohnsEpiscopalChurchSpeedsville/,42.30276966,-76.25420796,"St Johns Episcopal Church, 1504 76 Rd, Berkshire, NY 13736",16.6,17528.8,19,16,15,15,18,"24,619","17,483","15,881","13,831","15,830"
6019-3174,Central New York,Zion Episcopal Church,Greene,New York,Chenango,"10 N Chenango St, Greene, NY 13778",http://www.ziongreene.org/,42.33005573,-75.76889664,"Zion Episcopal Church, 10 N Chenango St, Greene, NY 13778",9.4,33008.6,11,6,11,10,9,"31,911","37,000","26,898","42,084","27,150"
1605-7598,Central New York,St Ann's Church,Afton,New York,Chenango,"125 Main St, Afton, NY 13730",https://www.stannsaftonny.org/,42.22655019,-75.52791971,"St Ann's Church, 125 Main St, Afton, NY 13730",13,28632.6,17,16,13,8,11,"30,938","30,094","27,157","27,617","27,357"
4324-2494,Central New York,St Peter's Episcopal Church,Bainbridge,New York,Chenango,"1 Church St, Bainbridge, NY 13733",https://www.stpetersbainbridge.com/,42.29267976,-75.47997705,"St Peter's Episcopal Church, 1 Church St, Bainbridge, NY 13733",25.8,38533.8,30,24,26,26,23,"36,856","38,463","37,992","36,732","42,626"
1543-0978,Central New York,St John's Episcopal Church,Ithaca,New York,Tompkins,"210 N Cayuga St, Ithaca, NY 14850",http://stjohnsithaca.org/,42.44113678,-76.4994736,"St John's Episcopal Church, 210 N Cayuga St, Ithaca, NY 14850",70.4,178284,78,42,109,66,57,"178,727","176,309","196,837","177,384","162,163"
2088-9796,Central New York,Episcopal Church at Cornell,Ithaca,New York,Tompkins,"548 College Ave, Room 119, Ithaca, NY 14850",https://www.episcopalchurchatcornell.org/,42.44491507,-76.48557451,"Episcopal Church at Cornell, 548 College Ave, Room 119, Ithaca, NY 14850",18.2,47962.8,15,16,17,21,22,"69,239","24,724","28,575","35,984","81,292"
7466-8484,Central New York,St Thomas Episcopal Church,Slaterville Springs,New York,Tompkins,"2720 Slaterville Rd, Brooktondale, NY 14817",http://www.stthomasslaterville.org/,42.39417758,-76.34541355,"St Thomas Episcopal Church, 2720 Slaterville Rd, Brooktondale, NY 14817",12.2,27805.6,12,12,12,13,12,"27,400","27,400","26,910","29,441","27,877"
7431-6266,Central New York,St John's Chapel,Marathon,New York,Cortland,"21 W Main St, Marathon, NY 13803",https://www.facebook.com/p/St-Johns-Episcopal-Church-Marathon-NY-100067898329312/,42.43987503,-76.03769698,"St Johns Chapel, 21 W Main St, Marathon, NY 13803",7.6,7767,7,7,7,7,10,"1,265","1,265","14,616","11,000","10,689"
1596-9025,Central New York,St Paul's Episcopal Church,Oxford,New York,Chenango,"34 Main St, Oxford, NY 13830",http://stpaulsoxford.org/,42.43980206,-75.59386141,"St Pauls Episcopal Church, 34 Main St, Oxford, NY 13830",13.2,28539.6,15,12,13,10,16,"21,273","29,111","23,072","24,260","44,982"
1017-4712,Central New York,Emmanuel Episcopal Church,Norwich,New York,Chenango,"37 W Main St, Norwich, NY 13815",https://bigreddoor.org/,42.53059677,-75.52721418,"Emmanuel Episcopal Church, 37 W Main St, Norwich, NY 13815",29,103030.8,33,26,26,28,32,"28,504","34,157","41,028","27,766","383,699"
9313-9079,Central New York,St Matthew's Church,South New Berlin,New York,Chenango,"N Main St, South New Berlin, NY 13843",https://bigreddoor.org/,42.5303421,-75.38412777,"St Matthews Church, N Main St, South New Berlin, NY 13843",15,22131.4,13,14,14,15,19,"19,666","15,492","19,449","22,736","33,314"
2546-1500,Central New York,St Andrew's Episcopal Church,New Berlin,New York,Chenango,"40 S Main St, New Berlin, NY 13411",https://bigreddoor.org/,42.62184754,-75.33257646,"St Andrews Episcopal Church, 40 S Main St, New Berlin, NY 13411",25.4,40997.2,27,24,27,21,28,"64,658","69,590","23,871","23,337","23,530"
